Harvest and analyze IOCs;AbuseHelper;https://github.com/abusesa/abusehelper;An open-source framework for receiving and redistributing abuse feeds and threat intel.
Windows Artifacts;AChoir;https://github.com/OMENScan/AChoir;A live incident response script for gathering Windows artifacts.
Vuln Scanners;Acunetix;http://www.acunetix.com/vulnerability-scanner/;Acunetix Web Vulnerability Scanner Is A Tool Designed To Discover Security Holes In Your Web Applications That An At-Tacker Would Likely Abuse To Gain Illicit Access To Your Systems And Data. It Looks For Multiple Vulnerabilities Includingsql Injection, Cross Site Scripting, And Weak Passwords.
Python Fuzzing;afl-python;http://jwilk.net/software/python-afl;Enables American Fuzzy Lop Fork Server And Instrumentation For Pure-Python Code
Python Forensics;aft;http://code.google.com/p/aft/;Android Forensic Toolkit
Traffic Analysis/Inspection;AIEngine;https://bitbucket.org/camp0/aiengine;Is A Next Generation Interactive/Programmable Packet Inspection Engine With Capabilities Of Learning Without Any Human Intervention, Nids Functionality, Dns Domain Classification, Network Collector And Many Others. Aiengine Also Helps Network/Security Professionals To Identify Traffic And Develop Signatures For Use Them On Nids, Firewalls, Traffic Classifiers And So On.
Forensics;Aircrack-Ng;http://www.aircrack-ng.org/;Crack 802.11 Wep And Wpa-Psk Keys
Wireless;AirGrab WiFi Radar;http://www.airgrab.com/AirGrab_WiFi_Radar/;Airgrab Wifi Radar Is A Tool To Display Information About Apple Airport Base Stations And Other Wifi (802.11B/G/N) Wireless Access Points.
Wireless;AirMagnet VoFi Analyzer;http://www.flukenetworks.com/enterprise-network/wireless-network/AirMagnet-VoFi-Analyzer;Airmagnet Vofi Analyzer Is The Industry‚ Only Solution For Troubleshooting Voice-Over-Wlan Problems In The Field. Vofi Analyzer Provides Full Analysis Of Encrypted Wlan Traffic, Scoring All Calls In Terms Of Call Quality And Proactively Identifying All Types Of Problems Including Phone Issues, Roaming Issues, Qos Issues, And Rf.
Wireless;AirMobile agent;http://www.airmobile.se/airmobile_agent.htm;Client Application Is Downloaded In To Your Pda Or Windows Cellular Phone Where It Will Run In Quite Mode In The Background. If The Application Finds A Rouge Access Point It Will Investigate The Ap And See If It Posed A Direct Threat To Your Network.
Wireless;Airpwn;http://airpwn.sourceforge.net/Airpwn.html;Airpwn Is A Framework For 802.11 (Wireless) Packet Injection. Airpwn Listens To Incoming Wireless Packets, And If The Data Matches A Pattern Specified In The Config Files, Custom Content Is Injected "Spoofed" From The Wireless Access Point. From The Perspective Of The Wireless Client, Airpwn Becomes The Server.
Wireless;AirRadar 2;http://www.koingosw.com/products/airradar.php?affChecked=1;Airradar Allows You To Scan For Open Networks And Tag Them As Favourites Or Filter Them Out. View Detailed Network Information, Graph Network Signal Strength, And Automatically Join The Best Open Network In Range.
Miscellaneous;al-khaser;https://github.com/LordNoteworthy/al-khaser;A PoC malware with good intentions that aimes to stress anti-malware systems.
Storage and Workflow;Aleph;https://github.com/merces/aleph;Open Source Malware AnalysisPipeline System.
Harvest and analyze IOCs;AlienVault Open Threat Exchange;https://otx.alienvault.com/;Share and collaborate in developing Threat Intelligence.
Scanning;Amap;http://freeworld.thc.org/thc-amap;Amap Is A Next-Generation Scanning Tool, Which Identifies Applications And Services Even If They Are Not Listening On The Default Port By Creating A Bogus-Communication And Analyzing The Responses.
Shellcode analysis;AnalyzePDF;https://github.com/hiddenillusion/AnalyzePDF;A tool for analyzing PDFs and attempting to determine whether they are malicious.
Malware identification;AnalyzePE;https://github.com/hiddenillusion/AnalyzePE;Wrapper for a variety of tools for reporting on Windows PE files.
Reverse;Androguard;https://github.com/androguard/androguard;Reverse Engineer Android Applications
Web scanner malware;AndroTotal;https://andrototal.org/;Free online analysis of APKs against multiple mobile antivirus apps.
Disassemblers;angr;https://github.com/angr/angr;Platform-agnostic binary analysis framework developed at UCSB's Seclab.
Python Fuzzing;antiparser;http://antiparser.sourceforge.net/;Fuzz Testing And Fault Injection Api
Web scanner malware;APK Analyzer;https://www.apk-analyzer.net/;Free dynamic analysis of APKs.
Reverse;Apk2Gold;https://github.com/lxdvs/apk2gold;Yet Another Android Decompiler
Reverse;ApkTool;http://ibotpeaches.github.io/Apktool/;Android Decompiler
Web Scanners;Arachni;http://arachni-scanner.com/;Arachni Is A Fully Automated System Which Tries To Enforce The Fire And Forget Principle. As Soon As A Scan Is Started It Will Not Bother You For Anything Nor Require Further User Interaction.
Penetration Testing Distributions;ArchStrike;https://archstrike.org/;An Arch Linux Repository For Security Professionals And Enthusiasts
Forensics;Audacity;http://sourceforge.net/projects/audacity/;Analyze Sound Files (Mp3, M4A, Whatever)
SSL Analysis Tools;autochrome;https://www.nccgroup.trust/us/about-us/newsroom-and-events/blog/2017/march/autochrome/;Easy To Install A Test Browser With All The Appropriate Setting Needed For Web Application Testing With Native Burp Support, From Nccgroup.
Scanning;Autoscan;http://autoscan-network.com/;Autoscan-Network Is A Network Scanner (Discovering And Managing Application). No Configuration Is Required To Scan Your Network. The Main Goal Is To Print The List Of Connected Equipments In Your Network.
IOC;Autoshun;https://www.autoshun.org;Snort plugin and block list.
Forensic;Autospy;http://www.sleuthkit.org/autopsy/;A Digital Forensics Platform And Graphical Interface To The Sleuth Kit And Other Digital Forensics Tools
Web scanner malware;AVCaesar;https://avcaesar.malware.lu/;Malware.lu online scanner and malware repository.
Operating Systems;BackBox;https://backbox.org/;Based On Ubuntu
Live CD;BackTrack;http://www.backtrack-linux.org/;Backtrack Is A Linux-Based Penetration Testing Arsenal That Aids Security Professionals In The Ability To Perform Assessments In A Purely Native Environment Dedicated To Hacking.
Vuln Apps;Badstore;http://www.badstore.net/;Badstore.Net Is Dedicated To Helping You Understand How Hackers Prey On Web Application Vulnerabilities, And To Showing You How To Reduce Your Exposure.
Deobfuscation;Balbuzard;https://bitbucket.org/decalage/balbuzard/wiki/Home;A malware analysis tool for reversing obfuscation (XOR, ROL, etc) and more.
